sha,first_parent_index,date,author,is_merge,status,areas,files,insertions,deletions,subject,action
9e0d66418efce0cfd7a429b4cd0ef1c0be2b3204,,2025-12-29T11:35:34Z,rbolwer,0,FRONTEND_REIMPLEMENTED,cobc;tests,4,152,1,cobc/tree.c (finalize_file): if file is EXTFH enabled then don't warn for ORGANIZATION INDEXED  even when compiler is configured --without-db,Suppress the ORGANIZATION INDEXED warning when the file is EXTFH-enabled (candidate checker must not warn where upstream does not)
3457bd5def5e23e0dcda2bf82a0665ff40065249,7,2025-12-24T15:10:06+01:00,Simon Sobisch,0,CI_ONLY_ACCOUNTED,ci,1,9,5,MSVC CI update,accounted (mechanical default)
fb8f358e91ce2c5bf2e1d5e040507df22a8d364b,8,2025-12-12T11:17:29+01:00,Simon Sobisch,0,CI_ONLY_ACCOUNTED,ci,1,0,2,Update windows-msvc.yml,accounted (mechanical default)
da31b9286647245a5c4ac39c021a7ac231ce6771,9,2025-12-08T12:04:46+01:00,David Declerck,1,UPSTREAM_MERGE_ACCOUNTED,build;cobc;config;docs;libcob;tests,31,1150,297,Merge remote-tracking branch 'upstream/gnucobol-3.x' into gitside-gnucobol-3.x,accounted (mechanical default)
34efe755f6f4d6a8d3b9f2158609917ad21ece5d,,2025-12-06T01:59:21Z,sf-mensch,0,TEST_IMPORTED,tests,7,98,81,test update,Adopted by the current-upstream suite lane (test update)
c4eea8102820f2d9becd2572a0f0b16edbb557d7,,2025-12-05T19:07:40Z,sf-mensch,0,FRONTEND_REIMPLEMENTED,cobc;tests,3,35,1,fix areacheck - ENTRY statement should begin in area B not area A,Fix area-check: ENTRY statement must begin in area B  not area A (candidate checker area validation)
4b72d0a9faac66b05e149d0b33d75a589f8863c9,,2025-12-04T15:55:25Z,sf-mensch,0,RUNTIME_PORTED,cobc;libcob;tests,11,222,79,improve memory handling in edge-cases,Improve memory handling in edge cases: port any observable bounds/state fixes; adopt tests
bc234cd17f19637098182f29c4062dba23bfc7d7,10,2025-12-03T23:27:38+01:00,David Declerck,0,CI_ONLY_ACCOUNTED,ci,1,1,1,Adjust MSYS2 CI timeout,accounted (mechanical default)
1fc514e9d166e606d56b3ab71043060532999b6a,11,2025-12-03T17:16:43+01:00,Simon Sobisch,1,UPSTREAM_MERGE_ACCOUNTED,ci,2,2,5,Merge pull request #256 from ddeclerck/fix_ci,accounted (mechanical default)
a98fcd30cef7d8eb7fd77307c62409b292ea0368,,2025-11-20T14:05:15+01:00,David Declerck,0,CI_ONLY_ACCOUNTED,ci,2,2,5,Fix CI,accounted (mechanical default)
39ab4808c7e5365330c4d386db3a8e8fba391e5f,,2025-12-02T20:17:48Z,sf-mensch,0,WRAPPER_INTEGRATED,cobc;docs;tests,6,160,31,listing header change: basename only,Listing header must show the basename only (candidate listing generation)
2c092ca140b49bc39289ed3ad72953c2a329b0dd,,2025-11-27T09:19:12Z,nberth,0,FRONTEND_REIMPLEMENTED,cobc;tests,4,64,40,check for terminating periods at the end of SET directives,Check for terminating periods at the end of SET directives; accept/reject and diagnose per upstream
deeadffbafb72a931c3aa5580e3995fee58e1d77,12,2025-11-20T22:41:21+01:00,Simon Sobisch,0,CI_ONLY_ACCOUNTED,ci,1,7,0,Update windows-msvc.yml,accounted (mechanical default)
a207a45955ec1b1932e994fcc4db12677963d19a,,2025-11-20T21:19:12Z,sf-mensch,0,RUNTIME_PORTED,build;config;docs;libcob;tests,13,289,30,new runtime configuration COB_SIGNAL_REGIME  allows skipping registration of the signal handler,Implement COB_SIGNAL_REGIME: valid values; registration policy (do-not-register / register-only-if-unclaimed / any other admitted modes); do not clobber external handlers; Unix coverage; classify unsupported platforms; async-signal-safe; runtime reporting
f49bf5314302dfa36e0cc260a8e03d9f09ef4214,,2025-11-20T14:02:25Z,sf-mensch,0,CONFIGURATION_INTEGRATED,build;docs,2,59,10,configure adjustments,None: configure adjustments are native build infra
d28f9fab8e2712918ec0c15ef1d1fc476be4bcb9,13,2025-11-20T13:52:31+01:00,Simon Sobisch,1,UPSTREAM_MERGE_ACCOUNTED,ci,5,6,6,Merge pull request #255 from nberth/update-ci-branch,accounted (mechanical default)
8d7308d9284981a3f05dfae839eaafd6ba1b0160,,2025-11-20T11:36:36+01:00,Nicolas Berthier,0,CI_ONLY_ACCOUNTED,ci,5,6,6,Change name of main branch in CI workflows,accounted (mechanical default)
eda8905e440494b7b0bb9cb47ea1bbcc3f4a5971,14,2025-11-19T08:45:44+01:00,Simon Sobisch,0,CI_ONLY_ACCOUNTED,ci,1,60,38,Improve MSYS1 workflow definition,accounted (mechanical default)
b1275d4ee475cadf3a5e59c335a283108c481164,15,2025-11-19T08:40:15+01:00,Simon Sobisch,0,CI_ONLY_ACCOUNTED,ci,1,12,8,Fix MacOS workflow,accounted (mechanical default)
13963e15a2da604b7a0392a06f9a8ec81db9bf04,,2025-11-18T14:00:48Z,rbowler,0,WRAPPER_INTEGRATED,cobc;tests,3,180,23,ensure full output for -ftcmd using multiple continuation lines as necessary,-ftcmd listing output must continue across multiple lines instead of truncating (candidate listing generation)
b836c467e7ed3d93b87ffba1ca299846ca734043,,2025-11-18T13:36:09Z,oguzcankirmemis,0,RUNTIME_PORTED,libcob;tests,6,117,76,cleanup memory handling in libcob for restart,Cleanup memory handling in libcob for restart: port module-restart state cleanup semantics
5e45c5e64f37049789fe83ed4ea41a9fa13a2155,16,2025-11-18T07:54:09+01:00,Simon Sobisch,1,UPSTREAM_MERGE_ACCOUNTED,build;tests,4,10,13,Merge pull request #254 from OCamlPro/gnucobol-3.x,accounted (mechanical default)
a3d9d6435401a2893c862e41b4dbc956796e8c35,,2025-11-18T06:30:03Z,sf-mensch,0,HARNESS_ADOPTED,build;tests,4,10,13,drop bashisms in atlocal.in and pre-inst-env.in,Adopt the bashism removal in the candidate testsuite harness
31ba95f7a4c3c8711ce748c3b4d622df8092a79d,17,2025-11-18T00:00:44+01:00,Simon Sobisch,1,UPSTREAM_MERGE_ACCOUNTED,build;cobc;docs;libcob;other;tests,26,910,435,Merge pull request #253 from OCamlPro/gnucobol-3.x,accounted (mechanical default)
8dd5b382cf01cf81a52fcebf71b6b3afe117d17d,,2025-11-17T21:34:51Z,sf-mensch,0,HARNESS_ADOPTED,build;docs;other;tests,10,181,77,quoting adjustments for use of builddir,Adopt the builddir quoting adjustments in the candidate testsuite harness
bc5c13b27467cdd64aed63f7850a73ba6c83ec1b,,2025-11-14T15:33:32Z,sf-mensch,0,NOT_APPLICABLE_WITH_PROOF,build;cobc;docs;libcob,7,41,8,portability updates,None: C portability updates
40ea3891c102db606464e3f1b1a49e206f312534,,2025-11-12T21:58:42Z,sf-mensch,0,DOCUMENTATION_TRACKED,docs;other,7,147,68,doc update,Track only: README/docs refresh
0359d0a78f103046d6dc289ad4f40dbea28c671e,,2025-11-12T21:53:09Z,sf-mensch,0,BLOCKED_BY_NATIVE_ARTIFACT_BOUNDARY,libcob,2,30,19,XML and JSON updates,Track only: XML and JSON updates (native libxml2/json-c backend)
bf0b5878a89808fc749023c063dfccc8887ffb09,,2025-11-12T17:13:57Z,sf-mensch,0,BLOCKED_BY_NATIVE_ARTIFACT_BOUNDARY,cobc;libcob;other;tests,7,526,278,XML and JSON updates,Track only: XML and JSON updates (native backend)
db111f65bd01b954e8b83f0c5dd1d1c1e3f13254,18,2025-11-06T11:21:38+01:00,Simon Sobisch,1,UPSTREAM_MERGE_ACCOUNTED,tests,3,144,107,Merge pull request #251 from OCamlPro/gnucobol-3.x,accounted (mechanical default)
d877fb362d20abcbf9914d9709f493791a985d22,,2025-10-31T08:52:40Z,sf-mensch,0,HARNESS_ADOPTED,tests,3,144,107,test runner: perf record addition and quote-fix,Adopt perf-record support and quote fixes in the candidate test runner
1fb152e8b536377f1902b5672ed9aa84d773db07,19,2025-10-21T14:12:22+02:00,David Declerck,1,UPSTREAM_MERGE_ACCOUNTED,build;cobc;config;libcob;other;tests,24,495,206,Merge remote-tracking branch 'upstream/gnucobol-3.x' into gcos4gnucobol-3.x,accounted (mechanical default)
5bb0fbe1bb594dcfea7e6aa904b38f30b9fbb854,,2025-10-21T09:11:38Z,ddeclerck,0,RUNTIME_PORTED,libcob;tests,3,95,9,Fix CHAR and ORD intrinsics in presence of collating sequence libcob: * intrinsic.c (cob_intr_char  cob_intr_ord): consider the program collating sequence in CHAR and ORD * intrinsic.c (cob_intr_char): raise COB_EC_ARGUMENT_FUNCTION when calling CHAR with an argument outside the collation range,CHAR and ORD intrinsics must consider the program collating sequence; CHAR outside collation range raises COB_EC_ARGUMENT_FUNCTION
94efcf21578847415cf1338d9569bcda4255bee5,20,2025-10-20T19:26:54+02:00,David Declerck,0,CI_ONLY_ACCOUNTED,ci,3,12,1,Fix CI,accounted (mechanical default)
23f8503529f02002876d1cc9c99ae0f4cc017355,,2025-10-17T20:32:16Z,sf-mensch,0,FRONTEND_REIMPLEMENTED,cobc,1,14,14,improve SD syntax checks and error recovery,Improve SD (sort description) syntax checks and error recovery
277a07c2ee9c9a5302fe9a07c249ed55cfdfd5bc,,2025-10-17T20:31:44Z,sf-mensch,0,FRONTEND_REIMPLEMENTED,cobc;libcob;tests,6,164,80,improve SD syntax checks and error recovery,Port the SD syntax-check behavior plus its tests; ensure no hang on malformed SD
7b324f50ebbb05f4c56838e21112a0f8544c6488,,2025-10-05T19:27:50Z,sf-mensch,0,FRONTEND_REIMPLEMENTED,cobc;config;other;tests,10,170,70,parser cleanup and better handling of incomplete code,Parser cleanup + better handling of incomplete code: bounded recovery  no hangs  deterministic diagnostics
94c8c561555ad6424a38aebe4c430b13f1ff0103,,2025-09-17T19:21:39Z,sf-mensch,0,HARNESS_ADOPTED,build;other;tests,9,52,33,fix #1142 build system support for embeded paths,Adopt build-system support for embedded paths in the candidate harness
f50ab5754982d376315d2eae768f5da29ba7bccb,21,2025-07-31T17:51:25+02:00,David Declerck,1,UPSTREAM_MERGE_ACCOUNTED,ci;cobc;libcob;tests,28,714,560,Merge remote-tracking branch 'upstream/gnucobol-3.x' into gcos4gnucobol-3.x,accounted (mechanical default)
f4ffd50ecd2497ee1d4f45a6e5d6ab42b8c9e573,,2025-07-30T18:42:59Z,sf-mensch,0,FRONTEND_REIMPLEMENTED,cobc;tests,9,195,54,reserved word handling and trace update,Reserved-word handling update + trace update: adopt the changed reserved-word set and trace output
8954b5fc10e63ce3029297822cf8e5628cd7d1d4,,2025-07-30T12:01:34Z,ddeclerck,0,RUNTIME_PORTED,cobc;libcob;tests,18,516,502,Code and testsuite cleanup,Port the observable effects of the code cleanup across move/screenio/termio/mlio/fileio; adopt the updated tests (data_display  run_accept  run_extensions  run_file  run_manual_screen  run_misc  run_returncode  syn_*)
f8a1a5c2766c4c346860a864b0c9d0f857728926,22,2025-07-30T00:54:08+02:00,David Declerck,0,CI_ONLY_ACCOUNTED,ci,1,112,0,Add IBM POWER and Z CI,accounted (mechanical default)
33057ad3e0521b9387647232b4dbdb7e86449cb3,23,2025-07-30T00:51:46+02:00,David Declerck,0,CI_ONLY_ACCOUNTED,ci,1,6,6,Update MacOS CI (DB4 removal imminent),accounted (mechanical default)
d8bd3f3a02c85392bf1898cab981d37146c94e67,24,2025-07-29T09:46:23+02:00,David Declerck,0,CI_ONLY_ACCOUNTED,ci,1,1,1,Adjust MSYS2 workflow timeout (was slightly too short),accounted (mechanical default)
adf35557a63adf7a36be9f9a14a4f8cf450b5611,25,2025-07-29T09:12:27+02:00,David Declerck,1,UPSTREAM_MERGE_ACCOUNTED,bin;build;cobc;docs;libcob;m4;other;tests,37,2464,1291,Merge remote-tracking branch 'upstream/gnucobol-3.x' into gcos4gnucobol-3.x,accounted (mechanical default)
26a5cba4eda9d8cee02878a2f745a808b9b47a48,,2025-07-29T05:25:46Z,sf-mensch,0,CONFIGURATION_INTEGRATED,m4,1,274,0,missing file in r5552 from gettext infrastructure update,None: iconv.m4 gettext update is native build infra
7fef5fde70afd9f865578cf20420566bb891a609,,2025-07-28T20:48:59Z,sf-mensch,0,NOT_APPLICABLE_WITH_PROOF,bin;build;cobc;docs;libcob;m4;other;tests,36,2190,1291,c89/c23 compat and hardening adjustments  along with updated gettext infrastructure,None: C89/C23 source-compat and hardening plus gettext autotools infrastructure are native C build concerns
a006789fa627f40c7c0d91144354d59f45ecd8d9,26,2025-07-21T13:50:30+02:00,David Declerck,1,UPSTREAM_MERGE_ACCOUNTED,libcob,1,11,2,Merge remote-tracking branch 'upstream/gnucobol-3.x' into gcos4gnucobol-3.x,accounted (mechanical default)
9d87cdbab8824674dd5c3cdf24ab34835e4fce75,,2025-07-17T20:13:53Z,sf-mensch,0,NOT_APPLICABLE_WITH_PROOF,libcob,1,11,2,libcob/mlio.c: cater for libxml2 ABI break with LIBXML_VERSION >= 21200 by providing a check and definition of sax error handler with the old ABI,None: libxml2 ABI compatibility shim is native-library-specific
a4be0beded8f1a0fd5f941ace568d9dde397462c,27,2025-07-17T19:51:31+02:00,Simon Sobisch,1,UPSTREAM_MERGE_ACCOUNTED,build;cobc;config;docs;libcob;other;tests,39,2952,515,Merge pull request #235 from OCamlPro/gnucobol-3.x,accounted (mechanical default)
3dd1d88da6ff57acf462a392763118069b2c5670,,2025-07-17T17:09:04Z,sf-mensch,0,BLOCKED_BY_NATIVE_ARTIFACT_BOUNDARY,cobc;docs;libcob,16,1119,259,initial (unfinished) support for XML PARSE,Track only: initial XML PARSE support is unfinished upstream and depends on the native XML backend
1fc700cc0cd9f1e55f011c8c6060c163e4369ddf,,2025-07-17T13:48:22Z,sf-mensch,0,NOT_APPLICABLE_WITH_PROOF,cobc;tests,7,27,22,c89 compat adjustments,None: C89 compatibility adjustments for the C compiler
ec76b500bb4f46cf30bbbee5b638c3cfa4f31b55,,2025-06-03T11:40:28Z,sf-mensch,0,NOT_APPLICABLE_WITH_PROOF,docs;libcob;tests,7,1274,1354,first VFILE update,None: VFILE is a native file backend (Microfocus/Fujitsu virtual file system)
410097c16722c3750abc1e533042b24e3c8fe727,,2025-06-03T06:17:41Z,chaat,0,NOT_APPLICABLE_WITH_PROOF,config;docs;libcob;other;tests,11,1551,4,NEW CBL functions for VFILE functionality consistent with Microfocus / Fujitsu,None: CBL_* VFILE functions depend on the native VFILE backend
a5253353db128332c515aac0d601b491194da1f2,,2025-06-02T08:17:50Z,sf-mensch,0,NOT_APPLICABLE_WITH_PROOF,build;cobc;docs;libcob;tests,15,294,176,portability fixes (and more),None: C portability fixes across the native build
eb8536cfcd335924e92af7aac7f2b3d6fd94b78b,,2025-05-26T08:57:17Z,ddeclerck,0,RUNTIME_PORTED,cobc;libcob,2,5,1,follow up to [r5531]: further adjustemnts to date computation from epoch,Apply the further date-from-epoch adjustments (final state of the family)
d3a3a3e6102fbb39cdfa84ba321c57abfe531916,28,2025-05-22T17:21:40+02:00,Simon Sobisch,1,UPSTREAM_MERGE_ACCOUNTED,ci,1,87,1,Merge pull request #232 from ddeclerck/add_32bit_ci,accounted (mechanical default)
b57d2f3b36e3e69ab29110280b34377db60e6a99,,2025-05-21T17:58:52+02:00,David Declerck,0,CI_ONLY_ACCOUNTED,ci,1,87,1,Add 32-bit Ubuntu workflow,accounted (mechanical default)
946f3e638c8f1d7c25abc098275faf515869e493,,2025-05-22T14:45:55Z,ddeclerck,0,RUNTIME_PORTED,libcob;tests,6,20,37,Simplify and fix computation of dates from epoch cobc: * common.c (cob_set_date_from_epoch): simplification  which also fixes incorrect conversion of epoch (was off by one day) tests: * atlocal.in  atlocal_win: set TZ=UTC globally to help get a reproducible output,Fix epoch date conversion (was off by one day) in the candidate date routines; adopt TZ=UTC global test environment
1b2c19e0cae884bdeff36d30a674434b5ca7b345,29,2025-05-20T09:32:35+02:00,David Declerck,1,UPSTREAM_MERGE_ACCOUNTED,build;cobc;libcob;other;tests,14,102,166,Merge remote-tracking branch 'upstream/gnucobol-3.x' into gcos4gnucobol-3.x,accounted (mechanical default)
486565722c48b21b50165f61e830442e1d5d97ad,,2025-05-20T07:00:13Z,ddeclerck,0,RUNTIME_PORTED,build;cobc;libcob;other;tests,14,102,166,Limit sed usage in testsuite  remove listing-sed cobc: * cobc.c (set_compile_date): fix SOURCE_DATE_EPOCH being ignored on subsequent invocations libcob: * common.c (cob_set_date_from_epoch): fix incorrect conversion of epoch (was off by one day) tests: * testsuite.src/run_misc.at  testsuite.src/syn_misc.at: reduce the use of sed by using SOURCE_DATE_EPOCH when possible and using @&t@ quadrigraphs in expected output with trailing spaces * listing-sed.sh: removed as no longer needed * atlocal.in  atlocal_win: remove the no longer needed UNIFY_LISTING variable,Fix SOURCE_DATE_EPOCH being ignored on subsequent invocations; fix epoch conversion; remove listing-sed dependency from harness
0e2b41f2c63b3f3aa714c3e5c456d1f03884e5e7,30,2025-05-16T12:10:26+02:00,David Declerck,0,CI_ONLY_ACCOUNTED,ci,2,58,57,CI adjustments,accounted (mechanical default)
8c96392229ca61ff15c04b89b550d42930d0e3e5,31,2025-05-15T09:59:58+02:00,OCP David Declerck,1,UPSTREAM_MERGE_ACCOUNTED,ci,4,625,471,Merge pull request #226 from ddeclerck/gc3_ci_update,accounted (mechanical default)
d90e2850e1ed0d52535562848388f150d9c37838,,2025-04-18T11:57:10+02:00,David Declerck,0,CI_ONLY_ACCOUNTED,ci,4,625,471,Update CIs,accounted (mechanical default)
dca6c3e5ec0b2670bd5f9d290c0380389af571ab,32,2025-05-13T16:36:34+02:00,David Declerck,1,UPSTREAM_MERGE_ACCOUNTED,build;docs;tests,13,125,93,Merge remote-tracking branch 'upstream/gnucobol-3.x' into gcos4gnucobol-3.x,accounted (mechanical default)
da5c185222c78dbb2badb1f9dc209726db2fdb2e,,2025-05-13T14:29:49Z,ddeclerck,0,HARNESS_ADOPTED,build;docs;tests,13,125,93,Testing and overriding the diff command * configure.ac: testing working diff with the option to override by DIFF tests: * atlocal.in  atlocal_win  cobol85/Makefile.am  cobol85/Makefile.module.in  testsuite.src/*.at: use the new DIFF variable to invoke the diff command,Adopt DIFF-override support in the candidate testsuite harness
84359ec81a15b7a0e58397ee37c4c5ed4889e7ab,33,2025-04-16T10:25:43+02:00,David Declerck,1,UPSTREAM_MERGE_ACCOUNTED,build_windows;ci;cobc;docs;libcob;tests,19,582,168,Merge remote-tracking branch 'upstream/gnucobol-3.x' into gcos4gnucobol-3.x,accounted (mechanical default)
79c65d0ecf1a0752e96939979fe0b4210e960e36,,2025-04-16T08:14:05Z,ddeclerck,0,FRONTEND_REIMPLEMENTED,build_windows;cobc;docs;libcob;tests,15,530,147,Fix [bugs:#948]: comparison with HIGH-VALUE in presence of collating sequences cobc: * tree.h (cb_program): add low_value and high_value fields to hold the low and high values used by the program collating sequence * tree.c (cb_build_program): initialize the low_value and high_value fields to reasonable default values * typeck.c: replace hard-coded cob_refer_ascii and cob_refer_ebcdic by ebcdic_to_ascii and ascii_to_ebcdic * typeck.c (cb_validate_collating): set the program's low_value and high_value fields * typeck.c (validate_alphabet): use the new tables  set the alphabet's low and high values * cobc.h: export the new symbols defined in typeck.c * cobc.c (process_command_line): always load the collating table * scanner.l (scan_ebcdic_char): remove code that loads and use a local collating table  use the table defined in typeck.c instead * codegen.c: replace hard-coded 0 and 255 / 0xff contants with the low_value and high_value fields where appropriate * codegen.c (output_low_value  output_high_value): move the cob_all_low and cob_all_high fields from global to local * codegen.c (output_collating_tables): remove local tables and code that loads the tables  since they are now loaded from cobc.c libcob: * strings.c: use the collating_sequence field of cob_module to determine the low value instead of the hard-coded constant '\0',Program-level low/high collating values: compute per-program collating low/high in the frontend; runtime comparison (HIGH-VALUE / LOW-VALUE in presence of collating sequences) uses them
dc0cddebe0f026adbe27e82f83563a9c88b58510,,2025-04-15T07:44:20Z,ddeclerck,0,WRAPPER_INTEGRATED,cobc;docs;tests,7,51,16,Fixes to the dependency generation feature introduced by [r5345] cobc: * cobc.c (process_filename): ensure we don't keep the preprocessed file when using -M or -fcopybook-deps * cobc.c  cobc.h  help.c  pplex.l: make -fcopybook-deps an experimental feature  activable with the EXPERIMENTAL_COPYBOOK_DEPS_OPTION flag,Fix -M/-fcopybook-deps behavior: do not keep the preprocessed file; gate -fcopybook-deps behind the experimental option; adopt tests
cdb87a8b3aa9125dc9f008da02fa20d4f75ca6db,34,2025-04-07T16:35:35+02:00,David Declerck,1,UPSTREAM_MERGE_ACCOUNTED,tests,1,11,4,Merge remote-tracking branch 'upstream/gnucobol-3.x' into gcos4gnucobol-3.x,accounted (mechanical default)
f2106ff244e7c6495df0d1fd6060b5e83f5ee937,,2025-04-07T14:09:49Z,ddeclerck,0,TEST_IMPORTED,tests,1,2,0,Follow-up to r5473 - add missing comment,Adopted by the current-upstream suite lane (comment-only follow-up)
0a761c9fa42cbf4cc01aa5127e21c94991b44ef5,,2025-04-04T16:22:15Z,ddeclerck,0,TEST_IMPORTED,tests,1,9,4,Fix SIGTERM test randomly failing in tests/testsuite.src/used_binaries.at,Adopted by the current-upstream suite lane (SIGTERM test flake fix)
c48824511397f644b2ac2f90e416a40992c11eab,35,2025-03-31T22:51:51+02:00,David Declerck,1,UPSTREAM_MERGE_ACCOUNTED,build;build_windows;ci;cobc;config;docs;tests,36,446,66,Merge remote-tracking branch 'upstream/gnucobol-3.x' into gcos4gnucobol-3.x,accounted (mechanical default)
54d4963026a1279a6fc5c2cff3dbd6a53f92dee5,,2025-03-31T20:44:57Z,ddeclerck,0,NOT_APPLICABLE_WITH_PROOF,build;build_windows;cobc;config;docs;tests,34,431,61,Add an EBCDIC/ASCII table generation feature build_windows: * general for cobc: include new gentable.c cobc: * gentable.c: generate EBCDIC/ASCII translation tables * cobc.c  help.c: new --gentable option doc: * gnucobol.texi: document the new --gentable option,None: --gentable generates native C translation tables (EBCDIC/ASCII)
0cb3eab5945e9b59da8ff5eb77cc45a258f21b5d,36,2025-03-28T16:10:59+01:00,David Declerck,1,UPSTREAM_MERGE_ACCOUNTED,bin;build;cobc;docs;other;tests,16,412,1721,Merge remote-tracking branch 'upstream/gnucobol-3.x' into gcos4gnucobol-3.x,accounted (mechanical default)
aa297a7c6743706ba777dc0c86cd781c5540a899,,2025-03-27T22:29:20Z,sf-mensch,0,CONFIGURATION_INTEGRATED,build;docs,2,46,21,build update,None: autotools build update
3f99dba4743214d4a44e2d7b6cd177aa1b343e2d,,2025-03-26T20:49:19Z,sf-mensch,0,NOT_APPLICABLE_WITH_PROOF,bin;build;cobc;docs;other;tests,16,366,1700,minor  mostly build updates,None: minor mostly-autotools build updates
080e75630cc4ba2635abd32b62721a05bf0ac357,37,2025-03-26T11:14:00+01:00,David Declerck,1,UPSTREAM_MERGE_ACCOUNTED,cobc,1,0,4,Merge remote-tracking branch 'upstream/gnucobol-3.x' into gcos4gnucobol-3.x,accounted (mechanical default)
140aed5814bc75e5a23a3685645c07a5589a9116,,2025-03-03T15:54:41Z,ddeclerck,0,NOT_APPLICABLE_WITH_PROOF,cobc,1,0,4,Remove erroneous ifdef/define in replace.c,None: removes an erroneous ifdef/define in the C replace.c
85c708085fadde0bf8696d9461bebb3f48f830f5,38,2025-02-16T19:34:04+01:00,David Declerck,1,UPSTREAM_MERGE_ACCOUNTED,cobc;docs;tests,11,214,29,Merge remote-tracking branch 'upstream/gnucobol-3.x' into gcos4gnucobol-3.x,accounted (mechanical default)
bba2a4ee7a73b04a1ee7cbf65c2fbaa8e77eb303,,2025-02-16T18:03:02Z,ddeclerck,0,WRAPPER_INTEGRATED,cobc,2,2,2,Display the help text of -fwinmain on both Win32 and Cygwin,Show -fwinmain help text on both Win32 and Cygwin in cobc-rs help output
8a7c349d13ad4484f1ba07ad9add8d88fa115351,,2025-02-12T16:50:13Z,ddeclerck,0,FRONTEND_REIMPLEMENTED,cobc;docs;tests,10,212,27,FR #176: 'Implementation of GC directive to include .h (c/c++) files' cobc: * pplex.l  ppparse.y  cobc.h  codegen.c (output_gnucobol_defines): new >>IMP INCLUDE directive to include one or multiple header files in the generated C code (same behavior as the --include but with one directive per file) * scanner.l: the leading space for all internal directives is removed in the lexer. Source previously preprocessed may need to be adjusted,Implement the >>IMP INCLUDE directive (include .h/.c++ headers) at the preprocessing level; adopt the scanner change (leading space removed for internal directives)
369eb24f947e4534c58c60a74ebfd7e546c3663c,39,2025-02-12T15:10:21+01:00,David Declerck,1,UPSTREAM_MERGE_ACCOUNTED,build;ci;docs,3,47,9,Merge remote-tracking branch 'upstream/gnucobol-3.x' into gcos4gnucobol-3.x,accounted (mechanical default)
6cc5a5803005ac5cba97f470a36df6b2bfe65de6,40,2025-02-11T23:43:54+01:00,Simon Sobisch,1,UPSTREAM_MERGE_ACCOUNTED,ci,1,11,7,Merge pull request #217 from ddeclerck/fix_msys2_ci,accounted (mechanical default)
